,features,values
64,ENSG00000168743.8,34.52809
60,hsa-miR-146b-5p,32.39863
45,ENSG00000253210.1,30.660353
54,ENSG00000142765.12,29.828281
58,cg07992625,28.894999
16,ENSG00000227392.1,28.44606
48,hsa-miR-132,26.54271
117,hsa-miR-423-3p,25.623625
135,ENSG00000180777.9,25.509007
86,cg12924262,24.096394
25,hsa-miR-33a,24.027956
185,hsa-miR-1308,23.856369
168,cg22680204,23.287497
161,hsa-miR-640,21.920525
193,hsv1-miR-H1,21.69155
103,ENSG00000254211.1,21.603903
164,hsa-miR-660,21.09378
187,hsa-miR-2114,20.962225
150,hsa-miR-548b-3p,20.055285
154,hsa-miR-577,19.85707
193,ENSG00000203565.2,19.791956
122,hsa-miR-448,19.287052
133,hsa-miR-491-5p,19.152979
69,hsa-miR-185,18.426659
41,ENSG00000254239.1,18.343159
118,hsa-miR-424,17.091362
180,hsa-miR-1266,17.06426
103,hsa-miR-362-3p,16.99162
83,cg12799265,16.948507
2,cg00398048,16.686403
27,ENSG00000204219.5,16.617474
23,ENSG00000016602.8,16.513494
81,hsa-miR-199b-5p,16.205692
2,ENSG00000242349.1,16.052666
116,hsa-miR-410,16.009413
124,ENSG00000235423.3,15.82354
196,kshv-miR-K12-2,15.701878
84,hsa-miR-206,15.426881
129,hsa-miR-485-5p,15.410873
120,hsa-miR-432,15.175862
47,hsa-miR-130b,15.115434
46,hsa-miR-129-5p,14.823553
174,hsa-miR-934,14.728956
80,hsa-miR-199a-5p,14.6467495
46,ENSG00000010310.4,14.452427
175,ENSG00000235823.1,14.340561
27,hsa-miR-34b,14.340289
36,hsa-miR-106a_hsa-miR-17,14.119093
188,ENSG00000240907.1,13.989091
72,hsa-miR-188-5p,13.74956
1,ENSG00000248714.2,13.715555
29,cg04126866,13.642001
123,hsa-miR-450b-5p,13.64066
114,ENSG00000186188.5,13.572703
57,hsa-miR-143,13.552619
128,cg18001427,13.452726
133,ENSG00000177025.2,12.961643
10,cg01169778,12.712436
171,hsa-miR-873,12.697891
49,hsa-miR-133a,12.612245
148,hsa-miR-548a-3p,12.500166
124,cg17560332,12.471537
126,ENSG00000235478.1,12.417019
100,cg14847483,12.3981
65,cg08952029,12.371955
191,ENSG00000034063.8,12.167497
28,ENSG00000105419.11,12.158697
8,hsa-miR-10b,12.15315
59,cg08367223,12.109058
123,cg17385448,12.091493
126,hsa-miR-455-3p,11.823616
98,ENSG00000254858.2,11.775945
94,hsa-miR-320a,11.677978
143,cg19485804,11.564588
10,ENSG00000037897.12,11.368931
138,hsa-miR-504,11.336697
81,ENSG00000053702.10,11.230651
90,hsa-miR-224,11.215886
149,hsa-miR-548a-5p,11.214655
178,hsa-miR-1248,11.193305
199,ENSG00000158715.5,11.129478
131,ENSG00000105643.3,11.09184
50,hsa-miR-133b,10.939886
45,hsa-miR-129-3p,10.924113
0,ENSG00000161896.6,10.909668
156,ENSG00000125878.4,10.881552
107,ENSG00000260328.1,10.802544
32,hsa-miR-98,10.605697
133,cg18220560,10.574191
85,hsa-miR-208a,10.428311
95,ENSG00000182310.7,10.422543
139,hsa-miR-509-3p,10.399592
91,ENSG00000198624.8,10.389172
117,ENSG00000120729.5,10.363436
24,hsa-miR-31,10.354405
188,hsa-miR-2117,10.328878
182,cg24765079,10.302795
82,hsa-miR-200a,10.2351055
152,cg20793071,10.233286
27,cg03894103,10.193125
160,hsa-miR-639,10.009653
4,cg00727590,9.964565
190,ebv-miR-BART8,9.830919
82,ENSG00000011426.6,9.723192
46,cg06637893,9.661161
191,ebv-miR-BART9,9.609993
6,cg00754253,9.509718
22,cg03400060,9.482286
